symbol,name,instrument_type,price,currency,change,percent_change,volume,market_time_utc,market_state,status,source
AAPL26,Apple Inc. Senior Notes Due 2026,bond,,,,,,,,unavailable,
AAPL27,Apple Inc. Senior Notes Due 2017,bond,,,,,,,,unavailable,
AAPL29,Apple Inc. Senior Notes 2029,bond,,,,,,,,unavailable,
AAPL29A,Apple Inc. Senior Notes Due 29 1.375,bond,,,,,,,,unavailable,
AAPL31,Apple Inc. 0.500% Notes due 2031,bond,,,,,,,,unavailable,
AAPL42,Apple Inc. Senior Notes Due 2042,bond,,,,,,,,unavailable,
AMZN28,"Amazon.com, Inc. Floating Rate Notes due 2028",bond,,,,,,,,unavailable,
AMZN28A,"Amazon.com, Inc. 2.800% Notes due 2028",bond,,,,,,,,unavailable,
AMZN30,"Amazon.com, Inc. 3.100% Notes due 2030",bond,,,,,,,,unavailable,
AMZN32,"Amazon.com, Inc. 3.350% Notes due 2032",bond,,,,,,,,unavailable,
AMZN35,"Amazon.com, Inc. 3.700% Notes due 2035",bond,,,,,,,,unavailable,
AMZN39,"Amazon.com, Inc. 4.050% Notes due 2039",bond,,,,,,,,unavailable,
AMZN45,"Amazon.com, Inc. 4.450% Notes due 2045",bond,,,,,,,,unavailable,
AMZN64,"Amazon.com, Inc. 4.850% Notes due 2064",bond,,,,,,,,unavailable,
AVY34,Avery Dennison Corporation 3.750% Senior Notes due 2034,bond,,,,,,,,unavailable,
AVY35,Avery Dennison Corporation 4.000% Senior Notes due 2035,bond,,,,,,,,unavailable,
BKNG26,Booking Holdings Inc. 4.000% Senior Notes due 2026,bond,,,,,,,,unavailable,
BKNG27,Booking Holdings Inc. Senior Notes due 2027,bond,,,,,,,,unavailable,
BKNG28,Booking Holdings Inc. 0.500% Senior Notes due 2028,bond,,,,,,,,unavailable,
BKNG28A,Booking Holdings Inc. 3.625% Senior Unsecured Notes due 2028,bond,,,,,,,,unavailable,
BKNG29,Booking Holdings Inc. 4.250% Senior Notes due 2029,bond,,,,,,,,unavailable,
BKNG29A,Booking Holdings Inc. 3.500% Senior Unsecured Notes due 2029,bond,,,,,,,,unavailable,
BKNG30,Booking Holdings Inc. 3.000% Senior Unsecured Notes due 2030,bond,,,,,,,,unavailable,
BKNG30A,Booking Holdings Inc. 3.500% Senior Unsecured Notes due 2030,bond,,,,,,,,unavailable,
BKNG31,Booking Holdings Inc. 4.500% Senior Notes due 2031,bond,,,,,,,,unavailable,
BKNG31A,Booking Holdings Inc. 3.125% Senior Unsecured Notes Due 2031,bond,,,,,,,,unavailable,
BKNG32A,Booking Holdings Inc. 3.250% Senior Notes due 2032,bond,,,,,,,,unavailable,
BKNG33,Booking Holdings Inc. 4.125% Senior Unsecured Notes due 2033,bond,,,,,,,,unavailable,
BKNG34,Booking Holdings Inc. 4.750% Senior Notes due 2034,bond,,,,,,,,unavailable,
BKNG34A,Booking Holdings Inc. 4.000% Senior Unsecured Notes due 2034,bond,,,,,,,,unavailable,
BKNG35,Booking Holdings Inc. 3.625% Senior Unsecured Notes due 2035,bond,,,,,,,,unavailable,
BKNG36,Booking Holdings Inc. 3.750% Senior Unsecured Notes due 2036,bond,,,,,,,,unavailable,
BKNG37,Booking Holdings Inc. 3.750% Senior Notes due 2037,bond,,,,,,,,unavailable,
BKNG38,Booking Holdings Inc. 4.125% Senior Unsecured Notes due 2038,bond,,,,,,,,unavailable,
BKNG39,Booking Holdings Inc. 4.500% Senior Unsecured Notes due 2039,bond,,,,,,,,unavailable,
BKNG44,Booking Holdings Inc. 4.000% Senior Unsecured Notes due 2044,bond,,,,,,,,unavailable,
BKNG45,Booking Holdings Inc. 3.875% Senior Notes due 2045,bond,,,,,,,,unavailable,
BKNG46,Booking Holdings Inc. 4.500% Senior Unsecured Notes due 2046,bond,,,,,,,,unavailable,
BKR30,Baker Hughes Company 3.226% Senior Notes due 2030,bond,,,,,,,,unavailable,
BKR34,Baker Hughes Company 3.812% Senior Notes due 2034,bond,,,,,,,,unavailable,
BKR38,Baker Hughes Company 4.193% Senior Notes due 2038,bond,,,,,,,,unavailable,
BKR40,"Baker Hughes Company Baker Hughes Holdings LLC $1,145,657,000 5.125% Senior Notes Due 2040",bond,,,,,,,,unavailable,
BKR46,Baker Hughes Company 4.737% Senior Notes due 2046,bond,,,,,,,,unavailable,
BNKG32,Booking Holdings Inc. 3.625% Senior Unsecured Notes due 2032,bond,,,,,,,,unavailable,
CMCS26,Comcast Corporation 0.000% Notes due 2026,bond,,,,,,,,unavailable,
CMCS27,Comcast Corporation Euro Notes due 2027,bond,,,,,,,,unavailable,
CMCS29,Comcast Corporation 1.5 Sterling Notes due 2029,bond,,,,,,,,unavailable,
CMCS29A,Comcast Corporation 0.250% Notes due 2029,bond,,,,,,,,unavailable,
CMCS32,Comcast Corporation 0.75 Euro Notes due 2032,bond,,,,,,,,unavailable,
CMCS32A,Comcast Corporation 3.250% Euro Notes due 2032,bond,,,,,,,,unavailable,
CMCS36,Comcast Corporation 1.875 Sterling Notes due 2036,bond,,,,,,,,unavailable,
CMCS36A,Comcast Corporation 3.550% Euro Notes due 2036,bond,,,,,,,,unavailable,
CMCS40,Comcast Corporation 1.25 Euro Notes due 2040,bond,,,,,,,,unavailable,
CMCS40A,Comcast Corporation 5.250% Sterling Notes due 2040,bond,,,,,,,,unavailable,
EQIX27,"Equinix, Inc. 0.250% Senior Notes due 2027",bond,,,,,,,,unavailable,
EQIX29,"Equinix, Inc. 3.250% Senior Notes due 2029",bond,,,,,,,,unavailable,
EQIX31,"Equinix, Inc. 3.250% Senior Notes due 2031",bond,,,,,,,,unavailable,
EQIX33,"Equinix, Inc. 1.000% Senior Notes due 2033",bond,,,,,,,,unavailable,
EQIX33A,"Equinix, Inc. 3.650% Senior Notes due 2033",bond,,,,,,,,unavailable,
EQIX34,"Equinix, Inc. 3.625% Senior Notes due 2034",bond,,,,,,,,unavailable,
EQIX34A,"Equinix, Inc. 4.000% Senior Notes due 2034",bond,,,,,,,,unavailable,
FISV27,"Fiserv, Inc. 1.125% Senior Notes due 2027",bond,,,,,,,,unavailable,
FISV28C,"Fiserv, Inc. 2.875% Senior Notes due 06/15/2028",bond,,,,,,,,unavailable,
FISV30,"Fiserv, Inc. 1.625% Senior Notes due 2030",bond,,,,,,,,unavailable,
FISV30A,"Fiserv, Inc. 3.750% Senior Notes Due 2030",bond,,,,,,,,unavailable,
FISV31,"Fiserv, Inc. 3.000% Senior Notes due 2031",bond,,,,,,,,unavailable,
FISV31A,"Fiserv, Inc. 4.500% Senior Notes due 2031",bond,,,,,,,,unavailable,
FISV32,"Fiserv, Inc. 3.500% Senior Notes due 06/15/2032",bond,,,,,,,,unavailable,
FISV34,"Fiserv, Inc. 4.250% Senior Notes Due 2034",bond,,,,,,,,unavailable,
FISV36,"Fiserv, Inc. 4.000% Senior Notes due 06/15/2036",bond,,,,,,,,unavailable,
GOOG26,Alphabet Inc. 6.125% Notes due 2126,bond,,,,,,,,unavailable,
GOOG28,Alphabet Inc. 2.375% Notes due 2028,bond,,,,,,,,unavailable,
GOOG29,Alphabet Inc. 2.500% Notes due 2029,bond,,,,,,,,unavailable,
GOOG29A,Alphabet Inc. 4.125% Notes due 2029,bond,,,,,,,,unavailable,
