symbol,name,exchange,exchange_name,etf,test_issue,financial_status
A,"Agilent Technologies, Inc. Common Stock",N,NYSE,N,N,
AA,Alcoa Corporation Common Stock ,N,NYSE,N,N,
AAA,Alternative Access First Priority CLO Bond ETF,P,NYSE Arca,Y,N,
AAAA,Amplius Aggressive Asset Allocation ETF,Z,Cboe BZX,Y,N,
AAAC,Columbia AAA CLO ETF,P,NYSE Arca,Y,N,
AAAD,PGIM AAA CLO Aggregate Duration ETF,P,NYSE Arca,Y,N,
AAAP,Pacer Barings CLO Market Flex ETF,Q,Nasdaq,Y,N,N
AAAU,Goldman Sachs Physical Gold ETF Shares,Z,Cboe BZX,Y,N,
AAC.U,"Ares Acquisition Corporation III Units, each consisting of one Class A ordinary share and one-tenth of one redeemable warrant",N,NYSE,N,N,
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Q,Nasdaq,N,N,D
AACBR,Artius II Acquisition Inc. - Rights,Q,Nasdaq,N,N,N
AACBU,Artius II Acquisition Inc. - Units,Q,Nasdaq,N,N,N
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,Nasdaq,N,N,N
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,Q,Nasdaq,N,N,N
AACIU,Armada Acquisition Corp. III - Units,Q,Nasdaq,N,N,N
AACIW,Armada Acquisition Corp. III - Warrant,Q,Nasdaq,N,N,N
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,Q,Nasdaq,N,N,N
AACOU,Abony Acquisition Corp. I - Units,Q,Nasdaq,N,N,N
AACOW,Abony Acquisition Corp. I - Warrants,Q,Nasdaq,N,N,N
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,Q,Nasdaq,N,N,N
AACPR,Apogee Acquisition Corp - Rights,Q,Nasdaq,N,N,N
AACPU,Apogee Acquisition Corp - Units,Q,Nasdaq,N,N,N
AACPW,Apogee Acquisition Corp - Warrant,Q,Nasdaq,N,N,N
AADR,AdvisorShares Dorsey Wright ADR ETF,Q,Nasdaq,Y,N,N
AADX,"Applied Aerospace & Defense, Inc. Common Stock",N,NYSE,N,N,
AAEQ,Alpha Architect US Equity 2 ETF,Q,Nasdaq,Y,N,N
AAL,"American Airlines Group, Inc. - Common Stock",Q,Nasdaq,N,N,N
AALG,Leverage Shares 2X Long AAL Daily ETF,Q,Nasdaq,Y,N,N
AAME,Atlantic American Corporation - Common Stock,Q,Nasdaq,N,N,E
AAMI,Acadian Asset Management Inc. Common Stock,N,NYSE,N,N,
AAOG,Leverage Shares 2X Long AAOI Daily ETF,Z,Cboe BZX,Y,N,
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,Nasdaq,N,N,N
AAON,"AAON, Inc. - Common Stock",Q,Nasdaq,N,N,N
AAOX,Tradr 2X Long AAOI Daily ETF,Z,Cboe BZX,Y,N,
AAP,Advance Auto Parts Inc.,N,NYSE,N,N,
AAPB,GraniteShares 2x Long AAPL Daily ETF,Q,Nasdaq,Y,N,N
AAPD,Direxion Daily AAPL Bear 1X ETF,Q,Nasdaq,Y,N,N
AAPE,Leverage Shares 2X Long AAPL Daily ETF,Z,Cboe BZX,Y,N,
AAPG,Ascentage Pharma Group International - American Depository Shares,Q,Nasdaq,N,N,N
AAPL,Apple Inc. - Common Stock,Q,Nasdaq,N,N,N
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,Z,Cboe BZX,Y,N,
AAPU,Direxion Daily AAPL Bull 2X ETF,Q,Nasdaq,Y,N,N
AAPW,Roundhill AAPL WeeklyPay ETF,Z,Cboe BZX,Y,N,
AAPX,T-Rex 2X Long Apple Daily Target ETF,Z,Cboe BZX,Y,N,
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Z,Cboe BZX,Y,N,
AARD,"Aardvark Therapeutics, Inc. - Common Stock",Q,Nasdaq,N,N,N
AAT,"American Assets Trust, Inc. Common Stock",N,NYSE,N,N,
AAUA,Alpha Architect US Equity 3 ETF,Z,Cboe BZX,Y,N,
AAUC,Allied Gold Corporation Common Shares,N,NYSE,N,N,
AAUS,Alpha Architect US Equity ETF,Q,Nasdaq,Y,N,N
AAVM,Alpha Architect Global Factor Equity ETF,Q,Nasdaq,Y,N,N
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Q,Nasdaq,Y,N,N
AB,AllianceBernstein Holding L.P.  Units,N,NYSE,N,N,
ABAT,American Battery Technology Company - Common Stock,Q,Nasdaq,N,N,N
ABBV,AbbVie Inc. Common Stock,N,NYSE,N,N,
ABCB,Ameris Bancorp Common Stock,N,NYSE,N,N,
ABCL,AbCellera Biologics Inc. - Common Shares,Q,Nasdaq,N,N,N
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Q,Nasdaq,Y,N,N
ABEO,Abeona Therapeutics Inc. - Common Stock,Q,Nasdaq,N,N,N
ABEQ,Absolute Select Value ETF,P,NYSE Arca,Y,N,
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,NYSE,N,N,
ABFL,Abacus FCF Leaders ETF,Z,Cboe BZX,Y,N,
ABG,Asbury Automotive Group Inc Common Stock,N,NYSE,N,N,
ABI,VictoryShares Pioneer Asset-Based Income ETF,Q,Nasdaq,Y,N,N
ABIG,Argent Large Cap ETF,Q,Nasdaq,Y,N,N
ABLD,Abacus FCF Real Assets Leaders ETF,Z,Cboe BZX,Y,N,
ABLG,Abacus FCF International Leaders ETF,Z,Cboe BZX,Y,N,
ABLS,Abacus FCF Small Cap Leaders ETF,Z,Cboe BZX,Y,N,
ABLV,Able View Global Inc. - Class B Ordinary Shares,Q,Nasdaq,N,N,N
ABLVW,Able View Global Inc. - Warrant,Q,Nasdaq,N,N,N
ABM,ABM Industries Incorporated Common Stock,N,NYSE,N,N,
ABNB,"Airbnb, Inc. - Class A Common Stock",Q,Nasdaq,N,N,N
ABNG,Leverage Shares 2x Long ABNB Daily ETF,Q,Nasdaq,Y,N,N
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,Nasdaq,N,N,N
ABOT,Abacus FCF Innovation Leaders ETF,Z,Cboe BZX,Y,N,
ABR,Arbor Realty Trust Common Stock,N,NYSE,N,N,
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",N,NYSE,N,N,
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,N,NYSE,N,N,
ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",N,NYSE,N,N,
ABSI,Absci Corporation - Common Stock,Q,Nasdaq,N,N,N
ABT,Abbott Laboratories Common Stock,N,NYSE,N,N,
ABTC,American Bitcoin Corp. - Class A Common Stock,Q,Nasdaq,N,N,N
ABTS,Abits Group Inc - Ordinary Shares,Q,Nasdaq,N,N,N
ABUF,Aptus Laddered Buffer ETF,Z,Cboe BZX,Y,N,
ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Nasdaq,N,N,N
ABVC,"ABVC BioPharma, Inc. - Common Stock",Q,Nasdaq,N,N,N
ABVX,Abivax SA - American Depositary Shares,Q,Nasdaq,N,N,N
ABX,"Abacus Global Management, Inc. Class A Common Stock",N,NYSE,N,N,
ABXB,Abacus Flexible Bond Leaders ETF,Z,Cboe BZX,Y,N,
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",N,NYSE,N,N,
ACA,"Arcosa, Inc. Common Stock ",N,NYSE,N,N,
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,Q,Nasdaq,N,N,N
ACAAU,Averin Capital Acquisition Corp. - Units,Q,Nasdaq,N,N,N
ACAAW,Averin Capital Acquisition Corp. - Warrants,Q,Nasdaq,N,N,N
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Nasdaq,N,N,N
ACB,Aurora Cannabis Inc. - Common Shares,Q,Nasdaq,N,N,N
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,Q,Nasdaq,N,N,N
ACCO,Acco Brands Corporation Common Stock,N,NYSE,N,N,
ACCS,ACCESS Newswire Inc. Common Stock,A,NYSE American,N,N,
ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,Nasdaq,N,N,N
ACEI,Innovator Equity Autocallable Income Strategy ETF,P,NYSE Arca,Y,N,
ACEL,"Accel Entertainment, Inc. ",N,NYSE,N,N,
ACEP,ARS Core Equity Portfolio ETF,Q,Nasdaq,Y,N,N
ACES,ALPS Clean Energy ETF,P,NYSE Arca,Y,N,
ACET,"Adicet Bio, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACFN,"Acorn Energy, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,Q,Nasdaq,N,N,N
ACGCU,ACP Holdings Acquisition Corp. - Units,Q,Nasdaq,N,N,N
ACGCW,ACP Holdings Acquisition Corp. - Warrants,Q,Nasdaq,N,N,N
ACGL,Arch Capital Group Ltd. - Common Stock,Q,Nasdaq,N,N,N
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Q,Nasdaq,N,N,N
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,Nasdaq,N,N,N
ACGO,Hartford Alpha Capture Growth ETF,Z,Cboe BZX,Y,N,
ACGR,American Century Large Cap Growth ETF,P,NYSE Arca,Y,N,
ACH,"Accendra Health, Inc. Common Stock",N,NYSE,N,N,
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACHR,Archer Aviation Inc. Class A Common Stock,N,NYSE,N,N,
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",N,NYSE,N,N,
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Q,Nasdaq,N,N,N
ACHX,Corgi ACHR 2x Daily ETF,Z,Cboe BZX,Y,N,
ACI,"Albertsons Companies, Inc. Class A Common Stock",N,NYSE,N,N,
ACIC,American Coastal Insurance Corporation - Common Stock,Q,Nasdaq,N,N,N
ACII,Innovator Index Autocallable Income Strategy ETF,P,NYSE Arca,Y,N,
ACIO,Aptus Collared Investment Opportunity ETF,Z,Cboe BZX,Y,N,
ACIU,AC Immune SA - Common Stock,Q,Nasdaq,N,N,N
ACIW,"ACI Worldwide, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,P,NYSE Arca,Y,N,
ACLC,American Century Large Cap Equity ETF,P,NYSE Arca,Y,N,
ACLO,TCW AAA CLO ETF,N,NYSE,Y,N,
ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACLZ,Corgi ACLS 2x Daily ETF,Z,Cboe BZX,Y,N,
ACM,AECOM Common Stock,N,NYSE,N,N,
ACMM,Corgi ACMR 2x Daily ETF,Z,Cboe BZX,Y,N,
ACMR,"ACM Research, Inc. - Class A Common Stock",Q,Nasdaq,N,N,N
ACN,Accenture plc Class A Ordinary Shares (Ireland),N,NYSE,N,N,
ACNB,ACNB Corporation - Common Stock,Q,Nasdaq,N,N,N
ACNT,Ascent Industries Co. - Common Stock,Q,Nasdaq,N,N,N
ACOG,Alpha Cognition Inc. - Common Stock,Q,Nasdaq,N,N,N
ACOM,Harbor Active Commodity ETF,P,NYSE Arca,Y,N,
ACON,"Aclarion, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACONW,"Aclarion, Inc. - Warrant",Q,Nasdaq,N,N,N
ACP,abrdn Income Credit Strategies Fund Common Shares,N,NYSE,N,N,
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,N,NYSE,N,N,
ACR,ACRES Commercial Realty Corp. Common Stock,N,NYSE,N,N,
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,N,NYSE,N,N,
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,N,NYSE,N,N,
ACRE,Ares Commercial Real Estate Corporation Common Stock,N,NYSE,N,N,
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACSG,American Century Small Cap Growth Insights ETF,Z,Cboe BZX,Y,N,
ACSI,American Customer Satisfaction ETF,Z,Cboe BZX,Y,N,
ACSV,American Century Small Cap Value Insights ETF,Z,Cboe BZX,Y,N,
ACT,"Enact Holdings, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACTG,Acacia Research Corporation - Common Stock,Q,Nasdaq,N,N,N
ACTS,FIS Tactical Equity ETF,P,NYSE Arca,Y,N,
ACTU,"Actuate Therapeutics, Inc. - Common stock",Q,Nasdaq,N,N,N
ACU,Acme United Corporation. Common Stock,A,NYSE American,N,N,
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N,NYSE,N,N,
ACVA,ACV Auctions Inc. Class A Common Stock,N,NYSE,N,N,
ACVF,American Conservative Values ETF,P,NYSE Arca,Y,N,
ACVT,Advent Convertible Bond ETF,P,NYSE Arca,Y,N,
ACVU,Hartford Alpha Capture Value ETF,Z,Cboe BZX,Y,N,
ACWI,iShares MSCI ACWI ETF,Q,Nasdaq,Y,N,N
ACWV,iShares MSCI Global Min Vol Factor ETF,Z,Cboe BZX,Y,N,
ACWX,iShares MSCI ACWI ex U.S. ETF,Q,Nasdaq,Y,N,N
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",Q,Nasdaq,N,N,N
ACYN,FT Vest Laddered Autocallable Barrier & Income ETF,P,NYSE Arca,Y,N,
ACYQ,FT Vest Autocallable Barrier & High Income ETF,P,NYSE Arca,Y,N,
ACYS,FT Vest Laddered Autocallable Barrier & Resilient Income ETF,P,NYSE Arca,Y,N,
AD,"Array Digital Infrastructure, Inc. Common Shares",N,NYSE,N,N,
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,Q,Nasdaq,N,N,N
ADACU,American Drive Acquisition Company - Units,Q,Nasdaq,N,N,N
ADACW,American Drive Acquisition Company - Warrant,Q,Nasdaq,N,N,N
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Q,Nasdaq,N,N,N
ADAM,"Adamas Trust, Inc. - Common Stock",Q,Nasdaq,N,N,N
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",Q,Nasdaq,N,N,N
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",Q,Nasdaq,N,N,N
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",Q,Nasdaq,N,N,N
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",Q,Nasdaq,N,N,N
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Nasdaq,N,N,N
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Nasdaq,N,N,N
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",Q,Nasdaq,N,N,N
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",Q,Nasdaq,N,N,N
ADBE,Adobe Inc. - Common Stock,Q,Nasdaq,N,N,N
ADBG,Leverage Shares 2X Long ADBE Daily ETF,Q,Nasdaq,Y,N,N
ADBU,Direxion Daily ADBE Bull 2X ETF,P,NYSE Arca,Y,N,
ADC,Agree Realty Corporation Common Stock,N,NYSE,N,N,
ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",N,NYSE,N,N,
ADCT,ADC Therapeutics SA Common Shares,N,NYSE,N,N,
ADDS,Hedgeye Index Adds ETF,P,NYSE Arca,Y,N,
ADEA,Adeia Inc.  - Common Stock,Q,Nasdaq,N,N,N
ADFI,Anfield Dynamic Fixed Income ETF,Z,Cboe BZX,Y,N,
ADGM,"Adagio Medical Holdings, Inc - Common Stock",Q,Nasdaq,N,N,D
ADI,"Analog Devices, Inc. - Common Stock",Q,Nasdaq,N,N,N
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Q,Nasdaq,N,N,N
ADIU,Leverage Shares 2X Long ADI Daily ETF,Z,Cboe BZX,Y,N,
ADIV,Guinness Atkinson Asia Pacific Dividend Builder ETF,P,NYSE Arca,Y,N,
ADM,Archer-Daniels-Midland Company Common Stock,N,NYSE,N,N,
ADMA,ADMA Biologics Inc - Common Stock,Q,Nasdaq,N,N,N
ADME,Aptus Drawdown Managed Equity ETF,Z,Cboe BZX,Y,N,
ADNT,Adient plc Ordinary Shares ,N,NYSE,N,N,
ADP,"Automatic Data Processing, Inc. - Common Stock",Q,Nasdaq,N,N,N
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,Nasdaq,N,N,N
ADPV,Adaptiv Select ETF,P,NYSE Arca,Y,N,
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,Q,Nasdaq,N,N,N
ADSEW,ADS-TEC ENERGY PLC - Warrant,Q,Nasdaq,N,N,N
ADSK,"Autodesk, Inc. - Common Stock",Q,Nasdaq,N,N,N
ADT,ADT Inc. Common Stock,N,NYSE,N,N,
ADTN,"ADTRAN Holdings, Inc. - Common Stock",Q,Nasdaq,N,N,N
ADUR,Aduro Clean Technologies Inc. - Common Stock,Q,Nasdaq,N,N,N
ADUS,Addus HomeCare Corporation - Common Stock,Q,Nasdaq,N,N,N
ADV,Advantage Solutions Inc.  - Class A Common Stock,Q,Nasdaq,N,N,N
ADVB,Advanced Biomed Inc. - Common Stock,Q,Nasdaq,N,N,N
ADVE,Matthews Asia Dividend Active ETF,P,NYSE Arca,Y,N,
ADX,Adams Diversified Equity Fund Inc.,N,NYSE,N,N,
ADXN,Addex Therapeutics Ltd - American Depositary Shares,Q,Nasdaq,N,N,N
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,Q,Nasdaq,N,N,N
AEAQU,Activate Energy Acquisition Corp. - Unit,Q,Nasdaq,N,N,N
AEAQW,Activate Energy Acquisition Corp. - Warrant,Q,Nasdaq,N,N,N
AEBI,Aebi Schmidt Holding AG - Common Stock,Q,Nasdaq,N,N,N
AEC,Anfield Energy Inc. - Common Shares,Q,Nasdaq,N,N,N
AEE,Ameren Corporation Common Stock,N,NYSE,N,N,
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",A,NYSE American,N,N,
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N,NYSE,N,N,
AEG,Aegon Ltd. New York Registry Shares,N,NYSE,N,N,
AEHG,Leverage Shares 2X Long AEHR Daily ETF,Z,Cboe BZX,Y,N,
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,Q,Nasdaq,N,N,N
AEHR,Aehr Test Systems - Common Stock,Q,Nasdaq,N,N,N
AEI,Alset Inc. - Common Stock,Q,Nasdaq,N,N,N
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,Nasdaq,N,N,N
AEM,Agnico Eagle Mines Limited Common Stock,N,NYSE,N,N,
AEMD,"Aethlon Medical, Inc. - Common Stock",Q,Nasdaq,N,N,N
AENT,Alliance Entertainment Holding Corporation - common stock,Q,Nasdaq,N,N,N
AENTW,Alliance Entertainment Holding Corporation - Warrants,Q,Nasdaq,N,N,N
AEO,"American Eagle Outfitters, Inc. Common Stock",N,NYSE,N,N,
AEON,"AEON Biopharma, Inc. Class A Common Stock",A,NYSE American,N,N,
AEP,"American Electric Power Company, Inc. - Common Stock",Q,Nasdaq,N,N,N
AER,AerCap Holdings N.V. Ordinary Shares,N,NYSE,N,N,
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",N,NYSE,N,N,
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",Q,Nasdaq,N,N,D
AERTW,"Aeries Technology, Inc. - Warrant",Q,Nasdaq,N,N,N
AES,The AES Corporation Common Stock,N,NYSE,N,N,
AESI,Atlas Energy Solutions Inc. Common Stock,N,NYSE,N,N,
AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,Q,Nasdaq,N,N,N
AESPR,Aeon Acquisition I Corp. - Rights,Q,Nasdaq,N,N,N
AESPU,Aeon Acquisition I Corp. - Units,Q,Nasdaq,N,N,N
AESPW,Aeon Acquisition I Corp. - Warrants,Q,Nasdaq,N,N,N
AESR,Anfield U.S. Equity Sector Rotation ETF,Z,Cboe BZX,Y,N,
AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,P,NYSE Arca,Y,N,
AEVA,"Aeva Technologies, Inc. - Common Stock",Q,Nasdaq,N,N,N
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,N,NYSE,N,N,
AEYE,"AudioEye, Inc. - Common Stock",Q,Nasdaq,N,N,N
AFB,AllianceBernstein National Municipal Income Fund Inc,N,NYSE,N,N,
AFBI,"Affinity Bancshares, Inc. - Common Stock",Q,Nasdaq,N,N,N
AFCG,Advanced Flower Capital Inc. - Common Stock,Q,Nasdaq,N,N,N
AFG,"American Financial Group, Inc. Common Stock",N,NYSE,N,N,
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",N,NYSE,N,N,
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N,NYSE,N,N,
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",N,NYSE,N,N,
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",N,NYSE,N,N,
AFGR,First Trust Multi-Manager Large Growth ETF,P,NYSE Arca,Y,N,
AFIF,Anfield Universal Fixed Income ETF,Z,Cboe BZX,Y,N,
AFIX,Allspring Broad Market Core Bond ETF,P,NYSE Arca,Y,N,
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",Q,Nasdaq,N,N,N
AFJKR,"Aimei Health Technology Co., Ltd - Right",Q,Nasdaq,N,N,N
AFJKU,"Aimei Health Technology Co., Ltd - Unit",Q,Nasdaq,N,N,N
AFK,VanEck Africa Index ETF,P,NYSE Arca,Y,N,
AFL,AFLAC Incorporated Common Stock,N,NYSE,N,N,
AFLG,First Trust Active Factor Large Cap ETF,P,NYSE Arca,Y,N,
AFMC,First Trust Active Factor Mid Cap ETF,P,NYSE Arca,Y,N,
AFOS,ARS Focused Opportunity Strategy ETF,Q,Nasdaq,Y,N,N
AFRI,Forafric Global PLC - Ordinary Shares,Q,Nasdaq,N,N,N
AFRIW,Forafric Global PLC - Warrants,Q,Nasdaq,N,N,N
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Q,Nasdaq,N,N,N
AFRU,T-REX 2X Long AFRM Daily Target ETF,Z,Cboe BZX,Y,N,
AFSC,abrdn Focused U.S. Small Cap Active ETF,Q,Nasdaq,Y,N,N
AFSM,First Trust Active Factor Small Cap ETF,P,NYSE Arca,Y,N,
AFYA,Afya Limited - Class A Common Shares,Q,Nasdaq,N,N,N
AG,First Majestic Silver Corp. Ordinary Shares (Canada),N,NYSE,N,N,
AGBK,AGI Inc Class A Common Shares,N,NYSE,N,N,
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,Q,Nasdaq,N,N,N
AGCO,AGCO Corporation Common Stock,N,NYSE,N,N,
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,N,NYSE,N,N,
AGEM,abrdn Emerging Markets Dividend Active ETF,Q,Nasdaq,Y,N,N
AGEN,Agenus Inc. - Common Stock,Q,Nasdaq,N,N,N
AGG,iShares Core U.S. Aggregate Bond ETF,P,NYSE Arca,Y,N,
AGGA,EA Astoria Beacon Dynamic Core US Fixed Income ETF,Q,Nasdaq,Y,N,N
AGGH,Simplify Aggregate Bond ETF,P,NYSE Arca,Y,N,
AGGS,Harbor Disciplined Bond ETF,P,NYSE Arca,Y,N,
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,P,NYSE Arca,Y,N,
AGI,Alamos Gold Inc. Class A Common Shares,N,NYSE,N,N,
AGIG,Abundia Global Impact Group Inc. Common stock,A,NYSE American,N,N,
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,Nasdaq,N,N,N
AGIQ,SoFi Agentic AI ETF,P,NYSE Arca,Y,N,
AGIX,KraneShares Public-Private AI & Technology ETF,Q,Nasdaq,Y,N,N
AGL,"agilon health, inc. Common Stock",N,NYSE,N,N,
AGM,Federal Agricultural Mortgage Corporation Common Stock,N,NYSE,N,N,
AGM$D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",N,NYSE,N,N,
AGM$E,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",N,NYSE,N,N,
