symbol,name,instrument_type,price,currency,change,percent_change,volume,market_time_utc,market_state,status,source
A,"Agilent Technologies, Inc. Common Stock",equity,135.37,USD,1.33,0.992,988713,,,priced,nasdaq_api
AA,Alcoa Corporation Common Stock ,equity,48.66,USD,-0.06,-0.123,2688270,,,priced,nasdaq_api
AAA,Alternative Access First Priority CLO Bond ETF,equity,,,,,,,,unavailable,
AAAA,Amplius Aggressive Asset Allocation ETF,equity,,,,,,,,unavailable,
AAAC,Columbia AAA CLO ETF,equity,,,,,,,,unavailable,
AAAD,PGIM AAA CLO Aggregate Duration ETF,equity,,,,,,,,unavailable,
AAAP,Pacer Barings CLO Market Flex ETF,equity,,,,,,,,unavailable,
AAAU,Goldman Sachs Physical Gold ETF Shares,equity,,,,,,,,unavailable,
AAC.U,"Ares Acquisition Corporation III Units, each consisting of one Class A ordinary share and one-tenth of one redeemable warrant",equity,,,,,,,,unavailable,
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,equity,10.55,USD,0.00,0.00,3556,,,priced,nasdaq_api
AACBR,Artius II Acquisition Inc. - Rights,equity,0.18,USD,0.00,0.00,6,,,priced,nasdaq_api
AACBU,Artius II Acquisition Inc. - Units,equity,10.68,USD,0.00,0.00,5,,,priced,nasdaq_api
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",equity,0.9999,USD,0.049,5.153,3601,,,priced,nasdaq_api
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,equity,9.97,USD,0.00,0.00,19,,,priced,nasdaq_api
AACIU,Armada Acquisition Corp. III - Units,equity,10.14,USD,0.06,0.595,136,,,priced,nasdaq_api
AACIW,Armada Acquisition Corp. III - Warrant,equity,0.395,USD,0.00,0.00,149,,,priced,nasdaq_api
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,equity,9.98,USD,0.02,0.201,7415,,,priced,nasdaq_api
AACOU,Abony Acquisition Corp. I - Units,equity,10.10,USD,0.03,0.298,105,,,priced,nasdaq_api
AACOW,Abony Acquisition Corp. I - Warrants,equity,0.49,USD,0.00,0.00,6,,,priced,nasdaq_api
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,equity,9.98,USD,-0.01,-0.10,1618,,,priced,nasdaq_api
AACPR,Apogee Acquisition Corp - Rights,equity,0.20,USD,0.00,0.00,62,,,priced,nasdaq_api
AACPU,Apogee Acquisition Corp - Units,equity,10.22,USD,0.00,0.00,1100,,,priced,nasdaq_api
AACPW,Apogee Acquisition Corp - Warrant,equity,0.1053,USD,-0.0097,-8.435,338,,,priced,nasdaq_api
AADR,AdvisorShares Dorsey Wright ADR ETF,equity,,,,,,,,unavailable,
AADX,"Applied Aerospace & Defense, Inc. Common Stock",equity,19.00,USD,0.28,1.496,442407,,,priced,nasdaq_api
AAEQ,Alpha Architect US Equity 2 ETF,equity,,,,,,,,unavailable,
AAL,"American Airlines Group, Inc. - Common Stock",equity,15.745,USD,-0.565,-3.464,116466247,,,priced,nasdaq_api
AALG,Leverage Shares 2X Long AAL Daily ETF,equity,,,,,,,,unavailable,
AAME,Atlantic American Corporation - Common Stock,equity,1.64,USD,-0.02,-1.205,8248,,,priced,nasdaq_api
AAMI,Acadian Asset Management Inc. Common Stock,equity,80.735,USD,1.925,2.443,111024,,,priced,nasdaq_api
AAOG,Leverage Shares 2X Long AAOI Daily ETF,equity,,,,,,,,unavailable,
AAOI,"Applied Optoelectronics, Inc. - Common Stock",equity,124.49,USD,12.61,11.271,8102171,,,priced,nasdaq_api
AAON,"AAON, Inc. - Common Stock",equity,113.16,USD,0.97,0.865,487692,,,priced,nasdaq_api
AAOX,Tradr 2X Long AAOI Daily ETF,equity,,,,,,,,unavailable,
AAP,Advance Auto Parts Inc.,equity,55.11,USD,-0.20,-0.362,1158492,,,priced,nasdaq_api
AAPB,GraniteShares 2x Long AAPL Daily ETF,equity,,,,,,,,unavailable,
AAPD,Direxion Daily AAPL Bear 1X ETF,equity,,,,,,,,unavailable,
AAPE,Leverage Shares 2X Long AAPL Daily ETF,equity,,,,,,,,unavailable,
AAPG,Ascentage Pharma Group International - American Depository Shares,equity,19.00,USD,-0.60,-3.061,2145,,,priced,nasdaq_api
AAPL,Apple Inc. - Common Stock,equity,315.71,USD,-1.60,-0.504,21576591,,,priced,nasdaq_api
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,equity,,,,,,,,unavailable,
AAPU,Direxion Daily AAPL Bull 2X ETF,equity,,,,,,,,unavailable,
AAPW,Roundhill AAPL WeeklyPay ETF,equity,,,,,,,,unavailable,
AAPX,T-Rex 2X Long Apple Daily Target ETF,equity,,,,,,,,unavailable,
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,equity,,,,,,,,unavailable,
AARD,"Aardvark Therapeutics, Inc. - Common Stock",equity,6.32,USD,0.36,6.04,211751,,,priced,nasdaq_api
AAT,"American Assets Trust, Inc. Common Stock",equity,25.08,USD,-0.06,-0.239,88327,,,priced,nasdaq_api
AAUA,Alpha Architect US Equity 3 ETF,equity,,,,,,,,unavailable,
AAUC,Allied Gold Corporation Common Shares,equity,22.60,USD,0.14,0.623,257494,,,priced,nasdaq_api
AAUS,Alpha Architect US Equity ETF,equity,,,,,,,,unavailable,
AAVM,Alpha Architect Global Factor Equity ETF,equity,,,,,,,,unavailable,
AAXJ,iShares MSCI All Country Asia ex Japan ETF,equity,,,,,,,,unavailable,
AB,AllianceBernstein Holding L.P.  Units,equity,37.61,USD,0.26,0.696,150086,,,priced,nasdaq_api
ABAT,American Battery Technology Company - Common Stock,equity,2.595,USD,0.095,3.80,2309623,,,priced,nasdaq_api
ABBV,AbbVie Inc. Common Stock,equity,245.66,USD,-2.34,-0.944,2286372,,,priced,nasdaq_api
ABCB,Ameris Bancorp Common Stock,equity,89.675,USD,-0.145,-0.161,169034,,,priced,nasdaq_api
ABCL,AbCellera Biologics Inc. - Common Shares,equity,6.775,USD,0.255,3.911,3353320,,,priced,nasdaq_api
