Symbol|Security Name|Financial Status
AAPL26|Apple Inc. Senior Notes Due 2026|N
AAPL27|Apple Inc. Senior Notes Due 2017|N
AAPL29|Apple Inc. Senior Notes 2029|N
AAPL29A|Apple Inc. Senior Notes Due 29 1.375|N
AAPL31|Apple Inc. 0.500% Notes due 2031|N
AAPL42|Apple Inc. Senior Notes Due 2042|N
AMZN28|Amazon.com, Inc. Floating Rate Notes due 2028|N
AMZN28A|Amazon.com, Inc. 2.800% Notes due 2028|N
AMZN30|Amazon.com, Inc. 3.100% Notes due 2030|N
AMZN32|Amazon.com, Inc. 3.350% Notes due 2032|N
AMZN35|Amazon.com, Inc. 3.700% Notes due 2035|N
AMZN39|Amazon.com, Inc. 4.050% Notes due 2039|N
AMZN45|Amazon.com, Inc. 4.450% Notes due 2045|N
AMZN64|Amazon.com, Inc. 4.850% Notes due 2064|N
AVY34|Avery Dennison Corporation 3.750% Senior Notes due 2034|N
AVY35|Avery Dennison Corporation 4.000% Senior Notes due 2035|N
BKNG26|Booking Holdings Inc. 4.000% Senior Notes due 2026|N
BKNG27|Booking Holdings Inc. Senior Notes due 2027|N
BKNG28|Booking Holdings Inc. 0.500% Senior Notes due 2028|N
BKNG28A|Booking Holdings Inc. 3.625% Senior Unsecured Notes due 2028|N
BKNG29|Booking Holdings Inc. 4.250% Senior Notes due 2029|N
BKNG29A|Booking Holdings Inc. 3.500% Senior Unsecured Notes due 2029|N
BKNG30|Booking Holdings Inc. 3.000% Senior Unsecured Notes due 2030|N
BKNG30A|Booking Holdings Inc. 3.500% Senior Unsecured Notes due 2030|N
BKNG31|Booking Holdings Inc. 4.500% Senior Notes due 2031|N
BKNG31A|Booking Holdings Inc. 3.125% Senior Unsecured Notes Due 2031|N
BKNG32A|Booking Holdings Inc. 3.250% Senior Notes due 2032|N
BKNG33|Booking Holdings Inc. 4.125% Senior Unsecured Notes due 2033|N
BKNG34|Booking Holdings Inc. 4.750% Senior Notes due 2034|N
BKNG34A|Booking Holdings Inc. 4.000% Senior Unsecured Notes due 2034|N
BKNG35|Booking Holdings Inc. 3.625% Senior Unsecured Notes due 2035|N
BKNG36|Booking Holdings Inc. 3.750% Senior Unsecured Notes due 2036|N
BKNG37|Booking Holdings Inc. 3.750% Senior Notes due 2037|N
BKNG38|Booking Holdings Inc. 4.125% Senior Unsecured Notes due 2038|N
BKNG39|Booking Holdings Inc. 4.500% Senior Unsecured Notes due 2039|N
BKNG44|Booking Holdings Inc. 4.000% Senior Unsecured Notes due 2044|N
BKNG45|Booking Holdings Inc. 3.875% Senior Notes due 2045|N
BKNG46|Booking Holdings Inc. 4.500% Senior Unsecured Notes due 2046|N
BKR30|Baker Hughes Company 3.226% Senior Notes due 2030|N
BKR34|Baker Hughes Company 3.812% Senior Notes due 2034|N
BKR38|Baker Hughes Company 4.193% Senior Notes due 2038|N
BKR40|Baker Hughes Company Baker Hughes Holdings LLC $1,145,657,000 5.125% Senior Notes Due 2040|N
BKR46|Baker Hughes Company 4.737% Senior Notes due 2046|N
