case,iteration,label,delta_ms,total_ms,profile,caps
version,1,version exit,6.616,6.616,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
version,2,version exit,4.5,4.5,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
version,3,version exit,3.982,3.982,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
version,4,version exit,5.143,5.143,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
version,5,version exit,4.357,4.357,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tools_json,1,fast tools-json begin,4.678,4.678,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tools_json,2,fast tools-json begin,5.642,5.642,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tools_json,3,fast tools-json begin,4.826,4.826,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tools_json,4,fast tools-json begin,4.44,4.44,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tools_json,5,fast tools-json begin,5.213,5.213,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
models_json,1,fast models-json,4.366,4.366,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
models_json,2,fast models-json,3.708,3.708,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
models_json,3,fast models-json,3.972,3.972,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
models_json,4,fast models-json,7.423,7.423,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
models_json,5,fast models-json,3.87,3.87,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tool_cwd,1,fast tool-exec begin,4.501,4.501,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tool_cwd,2,fast tool-exec begin,5.376,5.376,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tool_cwd,3,fast tool-exec begin,6.377,6.377,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tool_cwd,4,fast tool-exec begin,4.182,4.182,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
tool_cwd,5,fast tool-exec begin,4.024,4.024,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
route_explain_sonnet,1,fast route-explain begin,4.513,4.513,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
route_explain_sonnet,2,fast route-explain begin,3.621,3.621,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
route_explain_sonnet,3,fast route-explain begin,3.656,3.656,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
route_explain_sonnet,4,fast route-explain begin,6.053,6.053,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
route_explain_sonnet,5,fast route-explain begin,6.946,6.946,full,security;provider;tools;tui;vos;ipc;mcp;memory;accel;trust;trace
